X,Y,Z,GRADE
0,0,0,0.24483235245546875
10,0,0,0.3651728956184078
20,0,0,0.13389483541505753
30,0,0,0.247323493686052
40,0,0,0.6118124870876492
50,0,0,0.7532577373862237
60,0,0,0.8095717186936977
70,0,0,0.8628813896205997
80,0,0,0.8505535114115109
90,0,0,0.3638332526354805
100,0,0,0.127712873663114
0,10,0,0.5121722494489641
10,10,0,0.09809462088856113
20,10,0,0.17285647862032083
30,10,0,0.0831415204227991
40,10,0,0.09357167743909567
50,10,0,0.5168524223264294
60,10,0,0.3704441529396081
70,10,0,0.5699091943736805
80,10,0,0.282243388890571
90,10,0,0.5835495154634087
100,10,0,0.2974251551902115
0,20,0,0.7578368217544488
10,20,0,0.20131297777235413
20,20,0,0.7247911668969528
30,20,0,0.39221994418432404
40,20,0,0.017797719266854806
50,20,0,0.36727151926597845
60,20,0,0.8997890416798742
70,20,0,0.5663236564707084
80,20,0,0.723886266004462
90,20,0,0.6731168434019655
100,20,0,0.693592735914232
0,30,0,0.2309687941502886
10,30,0,0.551828249958704
20,30,0,0.8242191371455553
30,30,0,0.2295022184628417
40,30,0,0.592059490079528
50,30,0,0.43538136876747224
60,30,0,0.44377426838614376
70,30,0,0.3643371841765738
80,30,0,0.5599913383428068
90,30,0,0.49344574540048936
100,30,0,0.6281668548656348
0,40,0,0.3718508981004508
10,40,0,0.4299650060918455
20,40,0,0.6205658094172195
30,40,0,0.8217662788066645
40,40,0,0.3102303013196044
50,40,0,0.33354224549999356
60,40,0,0.12289578387236388
70,40,0,0.9399018292423176
80,40,0,0.8055362717120962
90,40,0,0.8377003897522739
100,40,0,0.4020219316104211
0,50,0,0.20076760761655565
10,50,0,0.10596937884183955
20,50,0,0.9778150971695985
30,50,0,0.6994423368764815
40,50,0,0.5772674377941569
50,50,0,0.8501199648360392
60,50,0,0.8869001965707348
70,50,0,0.5829634385759286
80,50,0,0.7665703269232407
90,50,0,0.9003009594937025
100,50,0,0.5726597602430541
0,60,0,0.7166880671605779
10,60,0,0.16774924176242667
20,60,0,0.7804887829421534
30,60,0,0.5366593907861801
40,60,0,0.42209457234619463
50,60,0,0.47563949938108374
60,60,0,0.24028773808543258
70,60,0,0.39386502246490496
80,60,0,0.32601232819872106
90,60,0,0.23976307086158788
100,60,0,0.20999266609404
0,70,0,0.7600247038135817
10,70,0,0.28949620320755665
20,70,0,0.9084103362275471
30,70,0,0.7059852478273488
40,70,0,0.8961604663486097
50,70,0,0.4531714418842375
60,70,0,0.40960638517953696
70,70,0,0.8967984174661014
80,70,0,0.5642814452747166
90,70,0,0.403031154495351
100,70,0,0.6961325697609384
0,80,0,0.7683608303150563
10,80,0,0.08936093572599346
20,80,0,0.48904840542026384
30,80,0,0.5284380580513259
40,80,0,0.34150543989084736
50,80,0,0.8201942939572353
60,80,0,0.2491246508078221
70,80,0,0.9814114833229522
80,80,0,0.572061359602333
90,80,0,0.15321965274951
100,80,0,0.8367936194254502
0,90,0,0.2708636870043142
10,90,0,0.10712388250096094
20,90,0,0.8809588103668642
30,90,0,0.2984604909941698
40,90,0,0.9559614164094489
50,90,0,0.8971180543860404
60,90,0,0.7778588447177139
70,90,0,0.824636414988422
80,90,0,0.730064987430113
90,90,0,0.29769647216512274
100,90,0,0.6715689146460893
0,100,0,0.15590625537559943
10,100,0,0.9031028087620019
20,100,0,0.8281767421521109
30,100,0,0.8759203726081428
40,100,0,0.6028161845643913
50,100,0,0.35861921085082327
60,100,0,0.09507474917552661
70,100,0,0.2506171259840321
80,100,0,0.4032500172652628
90,100,0,0.5981739533957788
100,100,0,0.3139112027666886
