X,Y,Z,GRADE
8,64,0,0.29
17,64,0,0.28
41,64,0,0.0563
64,64,0,0.0464
84,64,0,0.1872
13,69,0,0.291
20,69,0,0.305
22,69,0,0.302
46,69,0,0.025
58,69,0,0.0333
69,69,0,0.301
89,69,0,0.305
21,77,0,0.306
24,77,0,0.316
30,77,0,0.315
54,77,0,0.3259
62,77,0,0.3
77,77,0,0.286
97,77,0,0.291
28,84,0,0.287
37,84,0,0.313
61,84,0,0.306
84,84,0,0.278
7,63,1,0.309
16,63,1,0.313
17,63,1,0.316
40,63,1,0.0467
55,63,1,0.0282
63,63,1,0.0458
83,63,1,0.0429
12,68,1,0.302
21,68,1,0.3
45,68,1,0.0414
68,68,1,0.23
88,68,1,0.247
20,76,1,0.293
29,76,1,0.295
53,76,1,0.247
76,76,1,0.296
96,76,1,0.279
27,83,1,0.277
36,83,1,0.257
60,83,1,0.29
65,83,1,0.29
83,83,1,0.297
11,34,2,0.312
34,34,2,0.305
52,34,2,0.3076
54,34,2,0.301
6,62,2,0.299
15,62,2,0.298
39,62,2,0.0407
62,62,2,0.0458
82,62,2,0.0387
11,67,2,0.311
19,67,2,0.3337
20,67,2,0.34
44,67,2,0.1197
57,67,2,0.047
67,67,2,0.1503
87,67,2,0.284
19,75,2,0.319
23,75,2,0.3432
28,75,2,0.323
52,75,2,0.0363
61,75,2,0.311
75,75,2,0.29
95,75,2,0.294
26,82,2,0.309
35,82,2,0.325
59,82,2,0.29
82,82,2,0.268
5,61,3,0.262
14,61,3,0.298
16,61,3,0.295
38,61,3,0.0468
54,61,3,0.076
61,61,3,0.0333
81,61,3,0.0703
10,66,3,0.283
19,66,3,0.303
43,66,3,0.0416
66,66,3,0.1465
86,66,3,0.282
18,74,3,0.09
27,74,3,0.311
51,74,3,0.1085
74,74,3,0.291
94,74,3,0.29
25,81,3,0.2974
26,81,3,0.299
34,81,3,0.296
58,81,3,0.294
64,81,3,0.282
81,81,3,0.271
4,60,4,0.1341
13,60,4,0.305
37,60,4,0.302
60,60,4,0.323
80,60,4,0.0875
9,65,4,0.283
18,65,4,0.255
42,65,4,0.272
56,65,4,0.278
65,65,4,0.309
85,65,4,0.1466
17,73,4,0.268
22,73,4,0.267
26,73,4,0.258
50,73,4,0.3
60,73,4,0.3
73,73,4,0.29
93,73,4,0.284
24,80,4,0.0527
33,80,4,0.068
57,80,4,0.29
80,80,4,0.302
35,99,4,0.244
43,99,4,0.275
52,99,4,0.2727
73,99,4,0.28
76,99,4,0.28
99,99,4,0.0504
2,33,5,0.285
10,33,5,0.0847
33,33,5,0.293
40,33,5,0.281
49,33,5,0.2997
53,33,5,0.053
3,59,5,0.0633
12,59,5,0.324
15,59,5,0.305
36,59,5,0.273
53,59,5,0.308
59,59,5,0.31
79,59,5,0.1098
8,64,5,0.296
17,64,5,0.289
41,64,5,0.3013
64,64,5,0.307
84,64,5,0.0979
16,72,5,0.3124
25,72,5,0.296
49,72,5,0.0674
72,72,5,0.1012
92,72,5,0.301
23,79,5,0.0507
25,79,5,0.0412
32,79,5,0.0183
56,79,5,0.3187
63,79,5,0.329
79,79,5,0.286
99,79,5,0.288
42,98,5,0.307
51,98,5,0.302
75,98,5,0.283
98,98,5,0.0285
2,58,6,0.0285
11,58,6,0.1323
35,58,6,0.279
58,58,6,0.31
78,58,6,0.08
7,63,6,0.276
16,63,6,0.29
17,63,6,0.291
40,63,6,0.306
55,63,6,0.322
63,63,6,0.323
83,63,6,0.0887
15,71,6,0.272
21,71,6,0.296
24,71,6,0.295
48,71,6,0.0333
59,71,6,0.0716
71,71,6,0.1187
91,71,6,0.0518
22,78,6,0.0835
31,78,6,0.0284
55,78,6,0.0792
78,78,6,0.295
98,78,6,0.273
34,97,6,0.319
41,97,6,0.292
50,97,6,0.292
72,97,6,0.307
74,97,6,0.311
97,97,6,0.0695
1,57,7,0.0202
10,57,7,0.0389
14,57,7,0.0488
34,57,7,0.29
52,57,7,0.286
57,57,7,0.279
77,57,7,0.048
6,62,7,0.0463
15,62,7,0.264
39,62,7,0.264
62,62,7,0.284
82,62,7,0.0462
14,70,7,0.263
23,70,7,0.268
47,70,7,0.0672
70,70,7,0.064
90,70,7,0.0763
21,77,7,0.2141
24,77,7,0.1481
30,77,7,0.0835
54,77,7,0.0485
62,77,7,0.0498
77,77,7,0.0976
97,77,7,0.301
40,96,7,0.277
49,96,7,0.0808
73,96,7,0.27
96,96,7,0.0534
9,32,8,0.0924
32,32,8,0.0489
46,32,8,0.0885
52,32,8,0.181
0,56,8,0.018
9,56,8,0.0267
33,56,8,0.0832
56,56,8,0.301
76,56,8,0.1149
5,61,8,0.0238
14,61,8,0.0952
16,61,8,0.0811
38,61,8,0.283
54,61,8,0.0534
61,61,8,0.1055
81,61,8,0.0754
13,69,8,0.281
20,69,8,0.0656
22,69,8,0.0614
46,69,8,0.0629
58,69,8,0.0625
69,69,8,0.0809
89,69,8,0.0725
20,76,8,0.272
