dir_0_nlag,dir_1_nlag,k_3
12,4,125512738.5
15,3,177763572.2
12,19,108267857.5
8,9,60531278.01
17,3,99252752.71
16,26,111477491.2
2,3,260406936.8
1,3,309682750.6
1,12,140374457.8
19,27,80699528.86
7,25,94232574.12
20,3,74332393.69
12,23,12888295.82
13,8,89213185.64
16,23,17720571.16
13,13,67396657.7
16,14,81100734.11
17,28,49143662.09
12,9,72699053.18
2,28,15643198.22
15,28,7994788.959
12,17,107484499.3
14,2,121571937.8
6,17,98568033.69
13,14,52972669.1
9,18,61552249.63
19,13,36661782.3
6,18,56163751.63
11,2,137462949.6
19,21,73867327.2
13,27,30956600.45
15,12,157583381.4
7,26,70171427.09
18,3,73098368.11
9,12,48576370.53
10,17,100268442.9
6,21,126599381.7
4,17,143088346.5
3,9,172442213.1
5,15,106381528.0
20,20,30508941.19
15,26,51628715.47
1,22,83683746.28
7,6,65263244.19
15,11,193725202.0
16,8,116628219.1
4,16,55473635.29
19,9,46043143.56
20,6,52249172.37
5,9,114003137.7
17,11,121500456.2
16,10,126440738.1
20,24,15114202.69
12,12,42641496.52
15,20,44264515.34
4,12,102144388.5
16,16,106958236.9
13,21,21812494.39
7,7,64602144.09
9,1,68004260.71
8,19,100085132.0
5,17,143237144.6
10,23,18659728.48
16,24,24919144.19
16,21,54963186.23
11,4,143032967.7
7,1,107228221.0
2,11,173760284.8
19,2,99164422.94
17,24,78878849.71
6,6,43002714.26
6,24,14536269.65
11,21,94773059.99
7,13,51414640.13
1,6,192105351.8
19,11,24399956.75
2,23,31999185.43
20,7,54307859.78
15,7,136097203.1
13,26,54517352.27
18,11,69008259.06
14,17,111398595.0
14,13,90106922.81
8,24,18184918.58
14,28,14846838.24
17,20,134069512.4
19,26,101005066.2
5,14,85704181.25
19,16,77714294.96
4,7,125456971.4
9,14,49188186.41
18,18,89587617.52
10,19,88388705.51
10,9,59593237.34
16,6,120355818.9
9,8,59943802.72
8,15,80587473.77
15,14,93414813.14
4,22,26289544.26
2,2,202031760.8
20,4,52170319.34
7,4,75456399.57
1,1,313615542.9
14,20,29368483.8
14,7,110806306.7
10,3,107282954.4
9,28,25022796.02
15,17,154003770.4
11,12,54933267.62
5,20,85754212.17
6,11,88551918.71
8,27,142760400.2
8,28,22488521.21
3,17,99201603.62
16,19,142422613.4
4,3,118230667.5
13,16,55527677.24
9,23,25943034.29
3,15,74247570.77
1,18,86508470.86
12,15,80985695.42
3,6,130827640.2
20,16,27050157.19
14,15,74475209.56
4,4,75940824.68
4,20,42935569.88
7,11,66218759.63
15,9,150742776.9
5,2,72665390.44
18,15,116721828.1
17,12,114069139.8
16,12,118139940.3
5,28,12396363.34
3,2,177821188.4
15,15,92738030.4
1,24,29996520.62
12,20,40329724.38
13,3,159782333.6
12,28,26625014.22
8,4,45412527.71
20,17,35079271.84
1,10,185156414.9
5,7,103148407.6
11,22,45791250.63
17,19,159627374.0
20,18,20933840.01
9,10,60853230.52
9,5,73433737.41
18,22,35704774.44
9,3,84595521.29
6,1,105850276.8
16,9,143323855.5
18,12,60997372.2
15,24,13486491.15
12,22,21276249.97
2,7,161482453.5
18,19,122408480.7
4,25,75300544.1
13,25,60707287.31
6,15,97933899.81
17,18,154318567.4
4,21,69769845.92
13,9,67184937.94
10,8,38107900.19
4,26,39236088.02
14,27,75154776.1
14,9,109425125.0
13,23,10342289.67
15,18,139038641.6
10,1,89090478.39
20,10,34492969.31
4,23,23526657.15
6,13,76737717.35
11,13,46870115.62
16,4,112467923.1
19,8,63538184.83
2,25,56935862.7
8,21,92809263.51
2,19,66288036.84
18,4,71698636.51
15,16,118516680.7
19,19,84389143.51
18,9,74588037.26
20,21,45013457.95
3,25,40007809.64
11,24,20255506.45
12,21,122387411.4
5,25,84594894.66
18,21,102682713.0
10,4,66508822.75
20,19,36842228.85
3,20,41729811.11
1,5,223116601.7
20,13,18108987.05
14,19,81018514.83
17,6,116526902.9
11,5,147465005.5
3,26,35572459.27
6,3,85064209.18
1,9,191053373.1
4,8,87774907.59
2,8,127695075.4
14,21,48260977.2
7,14,55132426.34
11,10,70199795.23
1,20,81917923.48
10,14,26015445.79
6,19,92583906.11
4,11,184261134.9
3,27,56457169.51
4,2,87759200.38
3,10,176916771.4
12,27,111021406.3
17,26,179420537.5
16,25,94008361.94
7,2,97579863.62
7,8,61097615.88
8,23,15982221.49
4,28,11611633.73
5,1,82649645.23
18,23,33909829.83
17,14,119441081.5
16,28,25280325.09
18,25,124436969.0
12,14,37669194.53
11,1,127481121.7
18,26,122305182.7
14,16,51942867.74
2,27,75287990.32
11,20,52399828.48
15,5,188976195.0
7,24,21236732.26
12,7,114019720.4
1,28,25276098.18
3,4,158560574.5
11,14,46451693.89
10,21,62485220.11
11,16,42730761.34
12,10,55396505.93
14,11,145427033.8
19,22,52147619.64
15,1,161138091.0
9,22,66883317.65
6,2,63774758.96
4,27,92558950.9
8,1,87235761.29
20,22,18629330.1
7,10,64121449.53
10,24,13132104.05
18,24,50433324.11
10,27,66372402.02
12,5,165554495.0
15,21,23993983.3
19,18,64930530.19
2,1,252651365.8
20,5,49454341.43
10,25,69916221.27
8,18,36211067.75
13,15,40879981.08
14,26,53157029.72
6,23,43486732.98
6,9,77061312.58
7,28,20527517.86
18,17,117461980.3
5,8,87673426.26
9,11,83680575.95
8,17,106282726.3
17,9,121826190.1
5,4,71871550.54
19,24,49623943.33
11,18,79735680.76
20,1,104760793.2
17,15,138206958.9
3,5,172951925.5
13,24,12135795.49
6,8,50829670.08
1,15,72153470.34
1,8,180685345.9
3,19,93349307.0
16,2,104989782.3
12,1,144121276.5
10,16,33929495.3
3,8,128785950.4
5,10,118242850.8
12,16,40437071.2
