dir_0_nlag,dir_1_nlag,dir_2_nlag,k_4
1,1,1,-27181526365.016346
1,1,2,-39052905650.1661
1,1,3,-48485402176.686264
1,2,1,-15774999141.578867
1,2,2,-45397095887.73673
1,2,3,-42869563208.356186
1,3,1,-14301833017.114292
1,3,3,-25339807180.19676
1,4,1,-13940665713.086174
1,4,2,-35719326103.07021
1,4,3,-48813844244.524506
1,5,1,-29375446207.442093
1,5,2,-35719326103.07021
1,5,3,-56775047609.192055
1,6,1,-32559846438.81836
2,1,1,-19754270744.230457
2,1,2,-36178801732.535904
2,2,1,-26582808700.75163
2,2,2,-29392185250.877605
2,2,3,-45482107025.95132
2,3,1,-26847305353.349564
2,3,2,-41325116661.121796
2,3,3,-44992174851.04588
2,4,1,-29869717381.351215
2,4,2,-37083891438.60488
2,4,3,-51376851781.72226
2,5,1,-37040201119.13194
2,5,2,-42097159782.62116
2,6,1,-36910781162.37323
2,6,2,-55189013893.77121
2,7,1,-39344355808.265526
2,7,2,-39771337279.86157
2,8,1,-40274596741.01573
2,8,2,-40635325208.679565
3,1,2,-46098246692.374435
3,1,3,-43166096116.37493
3,2,1,-36992409110.03908
3,2,2,-40306673783.770744
3,2,3,-44095201683.764435
3,3,1,-38093012532.198814
3,3,2,-41066599853.4706
3,3,3,-44759818264.39622
3,4,1,-38016623441.15177
3,4,2,-41708000757.27539
3,4,3,-51259741337.30147
3,5,1,-35607628086.79015
3,5,2,-46900089335.7735
3,6,1,-35915429641.621544
3,7,1,-44037632428.569786
3,7,2,-45269790409.73669
3,8,1,-45753858487.95965
3,8,2,-45920378701.59542
4,1,1,-44579732562.44065
4,1,2,-46503452178.42807
4,2,1,-39646104744.175644
4,2,2,-39128542095.07049
4,2,3,-45035080822.16499
4,3,1,-44180269303.75237
4,3,2,-50501073007.24941
4,3,3,-44527461677.74655
4,4,1,-43070557144.20347
4,4,2,-42993794283.23228
4,4,3,-51142630892.880684
4,5,1,-50820823978.85881
4,5,2,-49829896370.210495
4,6,1,-44006144184.43497
4,7,1,-46404161679.559044
4,7,2,-46235395876.30635
4,8,1,-45646216492.99452
4,8,2,-45814216736.126495
5,1,2,-51484791697.02715
5,1,3,-51307030200.12489
5,2,2,-52078793180.08866
5,2,3,-51606204470.02303
5,3,1,-45746713747.12478
5,4,1,-46244654069.70826
5,6,1,-46746139920.599945
6,3,1,-47877900787.77931
6,4,1,-48551457419.00433
6,6,1,-47230283436.31906
